Exchange,Name of index,January,February,March,April,May,June,July,August,September,October,November,December
Cyprus Stock Exchange,CSE General Index,1 495.03,1 398.37,1 493.66,1 370.91,1 190.87,1 066.92,1 317.99,1 269.46,1 246.79,1 308.81,1 108.66,1 055.21
Deutsche Boerse AG,CDAX Price,303.33,302.10,331.65,329.26,313.44,313.07,322.99,312.12,329.00,348.85,353.66,368.72
Euronext Amsterdam,AAX,510.01,497.58,539.97,542.22,499.66,489.66,509.24,491.13,520.28,527.15,515.53,557.94
Euronext Brussels,General Price,8 051.90,8 050.22,8 471.40,8 187.62,7 969.95,7 794.08,8 187.48,8 058.25,8 478.66,8 855.21,8 250.52,8 552.46
Euronext Lisbon,BVL General,2 736.60,2 610.30,2 775.98,2 579.58,2 509.41,2 524.31,2 624.19,2 626.15,2 655.61,2 852.69,2 591.84,2 721.99
Euronext Paris,SBF 250,2 675.75,2 657.74,2 850.31,2 759.18,2 545.12,2 498.74,2 641.13,2 538.24,2 705.10,2 796.15,2 649.77,2 800.66
Irish Stock Exchange,ISEQ Overall,2 976.25,2 873.60,3 177.77,3 397.00,2 947.70,2 878.67,2 915.36,2 703.86,2 676.18,2 684.25,2 646.00,2 885.10
Johannesburg Stock Exchange,FTSE/JSE All Share,26 675.95,26 764.61,28 747.56,28 635.76,27 145.36,26 258.82,28 355.21,27 253.87,29 456.04,30 430.90,30 266.40,32 118.89
London Stock Exchange,FTSE 100,2 660.49,2 736.80,2 910.19,2 863.35,2 673.17,2 543.47,2 715.36,2 783.03,2 868.00,2 936.00,2 861.61,3 063.00
Luxembourg Stock Exchange,Lux General Price,1 101.10,1 127.63,1 277.64,1 193.15,1 066.38,1 045.60,1 055.57,1 036.91,1 076.40,1 058.87,1 088.72,1 241.90
Malta Stock Exchange,MSE Share Index,3 846.91,3 620.15,3 549.24,3 505.93,3 484.29,3 365.10,3 533.22,3 458.83,3 386.85,3 374.27,3 468.80,3 781.24
MICEX ,MICEX Index,1 419.42,1 332.64,1 450.15,1 436.04,1 332.62,1 309.31,1 397.12,1 368.90,1 440.30,1 523.39,1 565.52,1 687.99
Muscat Securities Market,msm30,6 532.16,6 689.31,6 697.51,6 830.37,6 294.43,6 058.11,6 294.55,6 256.80,6 472.76,6 553.33,6 592.00,6 754.92
Nasdaq Nordic Exchanges,OMX Nordic Eur PI (All-Share),159.49,163.11,176.09,180.39,168.46,169.45,178.35,173.52,189.06,189.23,192.17,207.08
NASDAQ OMX Nordic Copenhagen,OMXC,319.94,319.32,339.98,359.99,341.97,344.41,356.28,343.41,361.09,369.00,370.50,395.20
NASDAQ OMX Nordic Helsinki ,OMXH ,6 704.05,6 680.45,7 297.79,6 997.54,6 490.40,6 251.04,6 637.69,6 527.67,7 095.68,7 227.84,7 071.95,7 661.90
NASDAQ OMX Nordic Iceland ,OMXIPI,492.18,532.09,574.26,618.83,543.84,560.60,580.79,582.22,572.13,583.16,576.17,569.19
NASDAQ OMX Nordic Stockholm ,OMXS,301.62,299.65,324.48,332.95,308.41,312.96,327.09,316.16,342.83,343.17,348.04,368.54
Oslo Bors,OSEBXPR,240.52,232.35,249.43,252.03,222.46,211.04,230.52,226.65,244.60,259.47,253.91,281.41
Saudi Stock Exchange (Tadawul),TASI,6 252.55,6 437.50,6 801.01,6 867.97,6 120.52,6 093.76,6 283.73,6 106.42,6 392.39,6 353.88,6 318.50,6 620.75
SIX Swiss Exchange,SMI ,6 440.72,6 710.99,6 873.37,6 616.82,6 312.60,6 128.06,6 200.78,6 180.89,6 296.33,6 472.23,6 312.43,6 436.04
Stock Exchange of Mauritius,SEMDEX,1 740.97,1 646.10,1 639.49,1 687.27,1 609.97,1 654.16,1 716.06,1 719.67,1 760.87,1 861.86,1 906.79,1 967.45
Tehran Stock Exchange,TEDPIX,11 725.00,12 049.00,12 945.00,14 012.00,14 038.00,14 552.00,15 840.00,17 956.00,18 671.00,18 011.00,18 243.00,18 855.00
Tel-Aviv Stock Exchange,General ,967.78,1 009.63,1 060.78,1 004.18,922.18,915.05,927.52,951.70,1 013.58,1 055.50,1 027.12,1 081.81
The Egyptian Exchange,EGX 30 Index,6 756.14,6 632.54,6 806.11,7 451.72,6 549.02,6 033.09,6 316.52,6 407.93,6 634.27,6 670.34,6 704.83,7 142.14
Warsaw Stock Exchange,WIG Total Return,40 058.26,38 708.61,42 446.51,43 295.17,41 530.09,39 392.47,42 464.68,42 215.66,45 236.72,46 229.60,45 361.07,47 489.91
Wiener Borse,SE Price Index,915.17,898.13,963.06,993.15,908.75,867.91,935.40,912.37,959.19,1 004.24,981.41,1 104.39
