Exchange,Name of index,January,February,March,April,May,June,July,August,September,October,November,December
Johannesburg Stock Exchange,FTSE/JSE Top 40,24 041.26,23 994.59,25 833.44,25 629.93,24 157.99,23 294.83,25 224.60,24 127.05,26 154.31,27 053.68,26 844.52,28 639.40
Ljubljana Stock Exchange,SBI 20,999.76,960.01,965.95,954.01,882.66,880.02,813.48,818.46,830.94,865.40,842.76,850.35
London Stock Exchange,FTSE 100,5 188.52,5 354.50,5 679.64,5 553.29,5 188.43,4 916.87,5 258.02,5 396.48,5 549.00,5 675.00,5 528.27,5 900.00
Luxembourg Stock Exchange,LuxX,1 363.96,1 404.69,1 542.85,1 466.01,1 388.12,1 384.13,1 457.26,1 407.04,1 445.12,1 444.38,1 421.22,1 542.12
MICEX ,MICEX 10 Index,3 309.19,3 092.09,3 456.62,3 411.22,3 191.19,3 057.69,3 347.18,3 252.34,3 391.94,3 633.40,3 756.58,3 931.78
Nasdaq Nordic Exchanges,OMX Nordic 40 (OMXN40),855.86,875.18,954.07,975.04,911.99,917.94,961.00,934.91,1 014.92,1 014.85,1 030.80,1 105.03
NASDAQ OMX Nordic Copenhagen,OMXC20,354.85,354.77,383.04,411.50,388.69,393.02,410.83,396.38,416.96,424.20,424.77,457.58
NASDAQ OMX Nordic Helsinki ,OMXH25,2 057.18,2 071.79,2 246.04,2 248.71,2 100.78,2 094.53,2 231.87,2 209.93,2 414.67,2 450.09,2 430.28,2 628.48
NASDAQ OMX Nordic Iceland ,OMX Iceland 8 CAP (OMXI8CAP),824.51,895.30,948.10,976.46,876.29,868.08,904.55,889.31,834.38,837.02,820.50,841.55
NASDAQ OMX Nordic Stockholm ,OMXS30,953.71,947.39,1 021.08,1 053.88,980.63,1 005.93,1 047.26,1 011.70,1 087.71,1 089.32,1 107.05,1 155.57
Oslo Bors,OBX Index,329.81,317.57,342.61,348.15,313.20,299.43,327.73,322.09,349.95,371.22,361.25,400.40
SIX Swiss Exchange,SMI,6 440.72,6 710.99,6 873.37,6 616.82,6 312.60,6 128.06,6 200.78,6 180.89,6 296.33,6 472.23,6 312.43,6 436.04
Stock Exchange of Mauritius,SEM-7,366.77,342.57,339.17,349.37,326.63,333.78,340.49,336.21,338.33,354.57,362.88,373.22
Tehran Stock Exchange,TSE 50,500.90,523.30,570.40,612.90,613.30,638.00,718.10,810.60,840.80,811.30,806.30,845.70
Tel-Aviv Stock Exchange,TA 25,1 119.73,1 159.61,1 229.07,1 164.23,1 082.74,1 062.45,1 118.59,1 134.98,1 225.92,1 273.98,1 246.45,1 326.44
The Egyptian Exchange,DJ/CASE Egypt Titans 20 Index,1 423.02,1 404.95,1 442.97,1 579.96,1 405.14,1 303.55,1 356.43,1 380.37,1 425.33,1 429.91,1 446.76,1 532.78
Warsaw Stock Exchange,WIG 20,2 382.64,2 265.01,2 495.60,2 547.52,2 433.81,2 271.03,2 474.67,2 431.11,2 615.22,2 651.27,2 611.60,2 744.17
Wiener Borse,ATX (Austrian Traded Index),2 493.53,2 438.95,2 634.00,2 650.32,2 422.63,2 278.80,2 483.86,2 402.02,2 541.63,2 668.07,2 607.50,2 904.47
